Original Name,Canonical Name
3M,3M
3M Company,3M
3M Corporation,3M
3M Industries,3M
AA,AA
AAPL,Apple
Accenture plc,Accenture plc
Adidas,Adidas
Adidas AG,Adidas
Adidas Athletic,Adidas
Adidas Group,Adidas
Adidas Sportswear,Adidas
Adobe,Adobe
Adobe Corporation,Adobe
Adobe Inc.,Adobe
Adobe Rent-A-Car,Adobe Rent-A-Car
Adobe Systems,Adobe
Adobe Systems Inc.,Adobe
Air BNB,Airbnb
Airbnb,Airbnb
Airbnb Hosting,Airbnb
Airbnb Inc.,Airbnb
Airbnb Services,Airbnb
Alaska Airlines,Alaska Airlines
Alphabet,Alphabet
Alphabet Inc.,Alphabet
Altria Group Inc,Altria Group Inc
Amajon.com,Amazon
Amazn.com,Amazon
Amazon,Amazon
Amazon Corporation,Amazon
Amazon Inc.,Amazon
Amazon Logistics LLC,Amazon
Amazon Web Services,Amazon
Amazon.com Inc (Seattle),Amazon
Amazon.com Inc.,Amazon
America Online,America Online
American,American
American Airlines,American
American Airlines Group Inc.,American
American Airlines Inc.,American
American Express,American Express
American Express Company,American Express
American Express Corporation,American Express
American Family Insurance,American Family Insurance
American General Insurance,American General Insurance
American Standard,American Standard
American Telephone and Telegraph,American Telephone and Telegraph
AmEx,AmEx
Amex,AmEx
AMZN,Amazon
Andersen Consulting,Andersen Consulting
Anthem Inc,Anthem Inc
AOL Inc,AOL Inc
Appel Computer,Apple
Apple,Apple
Apple Computer,Apple
Apple Computer Company,Apple
Apple Computer Inc.,Apple
Apple Inc.,Apple
Apple Inc. Cupertino California,Apple
Apple Incorporated,Apple
Apple Records Limited,Apple
Astra Zeneca,Astra Zeneca
AstraZeneca,AstraZeneca
AstraZeneca Corporation,AstraZeneca
AstraZeneca Pharmaceutical,AstraZeneca
AstraZeneca PLC,AstraZeneca
AT&T,AT&T
AT&T Corporation,AT&T
AT&T Inc.,AT&T
ATT,AT&T
BAC,BAC
BackRub Inc,BackRub Inc
Bank of America,Bank of America
Bank of America Corp,Bank of America
Bank of America Corporation,Bank of America
Bayerische Motoren Werke,BMW
Bayerische Motoren Werke AG,BMW
Beats Electronics,Beats Electronics
Berkshire,Berkshire
Berkshire Hathaway,Berkshire
Berkshire Hathaway Corporation,Berkshire
Berkshire Hathaway Inc.,Berkshire
Berkshire-Hathaway,Berkshire
Best Buy,Best Buy
Best Buy Co Inc,Best Buy
Best Buy Electronics,Best Buy
Big Blue,Big Blue
BlackBerry Ltd,BlackBerry Ltd
BMW,BMW
BMW AG,BMW
BMW Automotive,BMW
BMW Group,BMW
BoA,Bank of America
Boeing,Boeing
Boeing Aerospace,Boeing
Boeing Aircraft,Boeing
Boeing Company,Boeing
Boeing Company Seattle WA,Boeing
Boeing Corp,Boeing
